region,ipcc_sectors_level_1,gas,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUSTRIA,ENERGY,CO2,92884.83751062107,92845.61086207331,91811.22167377108,92422.91820774855,87032.11315275086,94934.83975544362,92648.50742697246,90621.97410459202,91199.51876517414,86968.11145242583,88795.92243184979,89726.4107409972,91892.23366479485,88073.02123392018,89497.33228283944,83590.27054826598,88917.86723227419,82820.87169611618,80433.5194412579
AUSTRIA,ENERGY,CH4,55.93291468350894,58.04867271265276,58.96887199078513,55.41608304057686,56.15536650488529,59.65054899988001,57.10592448573548,58.863736697127294,58.66461007256017,55.66486561564503,57.00998009019323,57.23934436618876,57.725960399644485,56.494364262254756,56.77411201426941,55.886282109047855,59.33410128586763,53.702367014907146,54.23330728635433
AUSTRIA,ENERGY,N2O,2.1004790003301506,2.1087439697155133,2.1318398988325087,2.111134797637083,2.0659626913861144,2.1923995294264027,2.165086980807933,2.1958680157527732,2.2238318506536867,2.1599929512054965,2.2068581287146687,2.249471572882772,2.2753075759704204,2.2312218338051815,2.227612039680418,2.1083917485311936,2.205617361841381,2.091299848482613,2.0884834963631396
AUSTRIA,IPPUS,CO2,5024.142158299597,5177.220402133839,5414.534817091419,5558.8201442091995,4770.2700169034,4828.2112940312,4986.48483550529,5009.3634373429195,5056.0463024028,5056.90718048732,5301.33414515344,5288.41965550495,5496.752547162309,5299.17235919471,5337.12577093282,4887.86975794156,5228.84560049338,4877.19612567812,4747.54887670386
AUSTRIA,IPPUS,CH4,0.57925500378,0.63421500308,0.66185000273,0.65998000273,0.53415000378,0.63298587205,0.64979764192,0.64641019576,0.6803269041100001,0.67929765981,0.66523362350243,0.65001600464901,0.6922840980507801,0.61263686973381,0.64649140899874,0.59383762087756,0.66782405282802,0.62606519837192,0.58631533877398
AUSTRIA,IPPUS,N2O,1.50802971402108,1.52678613839188,1.37223428878394,1.45926952317645,1.32876335132323,1.3986994863170699,1.39231568461464,1.38256855132727,1.28523303079236,1.41853661241323,1.43869346918184,1.3854180516671701,1.41761276025777,1.41631521076091,1.4082965897336,1.35262564023579,1.37396627973891,1.27705028222045,1.19387795439477
AUSTRIA,AFOLU,CO2,36.8131007254224,56.4570163750494,75.8927719854794,59.1451051519724,64.8969790977677,54.896744848551,52.462985739246,60.801617075078,76.76299992654,80.16599371093,93.810474273713,83.68945403282,74.648877422718,59.8927797178649,56.965507910785696,52.1094228231346,46.665912595921796,43.8299502638859,41.879073021786496
AUSTRIA,AFOLU,CH4,192.8566069680787,193.58495420970723,192.69255373951205,194.49334471943703,193.97353580554642,198.0393515235879,198.3695259240721,195.39362843977307,194.67501853995753,195.11485448612044,195.74800080901736,195.4201037677448,195.33740363052175,192.26148561143594,189.47182463627547,188.14590935217467,189.1592013297287,189.0957924030875,189.16432272825878
AUSTRIA,AFOLU,N2O,7.534877252563687,7.483290051786173,7.479762817187118,7.331401545889456,7.25949517389571,7.616166813946031,7.686360375512924,7.454137965969832,7.580150786093894,7.918066464108911,7.777648668849312,7.859926130121132,7.4945295753991195,7.34756436946436,7.510044159722646,7.480007747918721,7.236288831481585,7.120466988245169,7.0687670627950405
AUSTRIA,WASTE,CO2,5.8594741323,4.9991278325,3.336666666,3.4237081995,2.643104933,1.9120165165,1.9522099665000001,2.0152630665,2.1243726165,2.1614871664999997,2.3212077165,2.3528398665,0.8341666665,0.8341666665,0.8341666665,0.8341666665,0.8341666665,0.8341666665,0.8341666665
AUSTRIA,WASTE,CH4,113.33620798600401,108.085128114,98.6010155160074,95.90802836779201,91.8378215588445,89.3663089546768,84.9950113318945,78.85242443601099,84.57654020560949,81.5406285804365,66.2954373380415,67.9197082745878,74.32662929825901,78.289808158205,79.5441413849095,79.06202124118019,82.017631749434,83.9132378529612,85.3500182069101
AUSTRIA,WASTE,N2O,0.8864961523814,0.89550390315146,0.90023162095488,0.9015478375753601,0.90883783401791,0.9263179027075401,0.9362305171174001,0.94563005440963,0.93069622544354,0.95452445041656,0.96687196060585,0.98623249823292,0.98892627911773,0.98959385674035,1.00061962960709,1.01266469924362,1.01985851311192,1.02849723090393,1.03723406625358
AUSTRIA,OTHER,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA,OTHER,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA,OTHER,N2O,1.2618950870942,1.200043680765,1.1537438471559,1.0876380566592,1.0032399905731,1.0060177610758,0.92267729964632,0.88639853480144,0.89674678923095,0.83363996441771,0.79891139560351,0.79862437375028,0.78264675329044,0.7453184575475,0.71985280169134,0.63359313088517,0.64602766009346,0.58569513221098,0.54748447941315
BELGIUM,ENERGY,CO2,112744.20195751666,110482.4197488073,107479.30028101297,111290.62433967456,106651.73719919716,116960.62794311847,105989.51138556449,105988.42133122825,107665.50567580092,100424.24810416685,105779.55286179698,105516.22781101972,104481.01836442824,104812.80698813591,103615.21446868034,96362.46385062528,100615.195652973,93961.87839354332,89163.86541077444
BELGIUM,ENERGY,CH4,83.99530782048436,87.90722028473668,93.67092870983289,95.271483067796,96.21048524305154,99.71152329040746,97.47193671664242,99.34924286958798,102.02373536496066,99.02169150866024,100.31082400698676,101.80906277907847,101.93249781920893,102.25006843154915,102.63901353740928,101.6995712999141,104.6570269011433,103.40673769124766,103.73128316340515
