REGION_WILIAM,SEX_WILIAM,AGE_WILIAM,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AUSTRIA,FEMALE,c0c4,0.188122,0.189972814678591,0.190351535936016,0.187391634437206,0.1807027580481739,0.173622785328725,0.1715549683051299,0.172949493262136,0.174894548372664,0.174351308448823,0.17102582870786,0.166682883316152,0.162569109043394,0.159689369677117,0.157329079560708,0.154037403659786,0.149167187523687,0.143263692734042,0.137338459001675
AUSTRIA,FEMALE,c5c9,0.2001939999999999,0.194667485075476,0.195277259012825,0.1955293052571119,0.192385190044681,0.185583894427524,0.178528346500175,0.176431479413262,0.177656790588793,0.179331220084864,0.178526043551856,0.174512427655679,0.16951395766858,0.164814108216098,0.161410164358782,0.158570668534132,0.154828599091831,0.149535115057695,0.1432459426275459
AUSTRIA,FEMALE,c10c14,0.213251,0.203946503706616,0.198116604356344,0.198733760877411,0.198948687588114,0.195724263567171,0.188878662178703,0.181851676397817,0.179749870332341,0.180886225312129,0.182404027234394,0.181145216825055,0.176667222182155,0.171225730902455,0.16612472716634,0.162357033801566,0.1591805843039599,0.155120105961506,0.149529056919851
AUSTRIA,FEMALE,c15c19,0.245897,0.2153609805016965,0.2057647493111751,0.2001517352658922,0.2007910480150628,0.2010111777300719,0.1977646980388418,0.1909084152509531,0.1839052677223541,0.1818012280374456,0.1828891872955974,0.1841405029202245,0.182599154778798,0.1778323765237649,0.1721146952438947,0.1667619506561368,0.162764864135766,0.1593747432691949,0.1551127564306121
AUSTRIA,FEMALE,c20c24,0.256952,0.2481642914586929,0.2172936755881378,0.2078035173263049,0.2023701553796697,0.2030445374526506,0.2032803278269282,0.2000183178711107,0.1931474259310256,0.1861496227578731,0.1840335662241047,0.1848089543363257,0.1857666258639995,0.1839197577029374,0.1788452292748292,0.1728355322915435,0.1672171191298338,0.162977432234201,0.1593613238932323
AUSTRIA,FEMALE,c25c29,0.274573999725426,0.2725287075869736,0.2612245011933236,0.2303092756828637,0.2210260060456509,0.2162126198275659,0.216985081733,0.2172222934381649,0.2137673455859874,0.206662013731744,0.1995373802914819,0.1953361966053541,0.1943278368754115,0.1936019094590062,0.1900278051221665,0.1832372320970291,0.1756161132644717,0.1685328620800282,0.1629569945992132
AUSTRIA,FEMALE,c30c34,0.264156,0.2903452252311769,0.286464477401292,0.2752386165153085,0.2452287508877964,0.2366989643956811,0.2331911998859432,0.2340434674143792,0.2343217372181478,0.2306873143623376,0.2234346476534049,0.2135440525300272,0.2068926934846486,0.2037698466694515,0.2010477883255293,0.1954547981299471,0.1866856068604818,0.1772294009066044,0.1684994254921213
AUSTRIA,FEMALE,c35c39,0.298314999701685,0.2756714487439189,0.3005064970242148,0.2979350116785351,0.2868225363833933,0.2575099131667116,0.2496106322660185,0.247119866835357,0.248041734067709,0.2483888431598304,0.2446360617828922,0.2352953414254272,0.2232462619995702,0.2146733056602323,0.209860338374431,0.2055321722526541,0.1983391189327505,0.1880356783548065,0.1771892360221605
AUSTRIA,FEMALE,c40c44,0.347956,0.3051396939824932,0.2824373210680418,0.3080051704897745,0.3063493486970751,0.2953537088628419,0.2664414216401515,0.258952828107194,0.2571194466678703,0.2581178904566787,0.2585306737390043,0.2534426006871702,0.2426016021607667,0.229039311540791,0.2191186515971417,0.2131032884505629,0.2076312543262725,0.1993228244746889,0.187985645137334
AUSTRIA,FEMALE,c45c49,0.348693999651306,0.3501875652362005,0.307927693309906,0.2860909048013283,0.3121649498945046,0.3111664826574911,0.3003656147302603,0.2717970317644589,0.2646110659391992,0.2631857360695456,0.2642606185211175,0.2639340871572399,0.2580239583383124,0.2462823347172073,0.2318242543506666,0.2211029376268887,0.214367145596641,0.2082105443183197,0.1992533987150862
AUSTRIA,FEMALE,c50c54,0.302481000302481,0.3482578807524464,0.3497861460574065,0.3087610556652819,0.2877152226397009,0.3141918903448704,0.3137430257937242,0.3031878926610055,0.2749684001686884,0.2680154686821006,0.2668831516565301,0.267579173518181,0.2667854034715893,0.2603607288157253,0.2480674703798238,0.2330688204542466,0.2218624118542083,0.2146815753491812,0.2081047138418394
AUSTRIA,FEMALE,c55c59,0.253562999746437,0.3002840824221496,0.345865888681148,0.3480671879015986,0.3082804179108629,0.288031150099881,0.3148762794936063,0.3149245076194968,0.3046597165644554,0.2767603734606444,0.2700179123218245,0.2685434160938807,0.2690353134530147,0.2679872136016659,0.261285522793894,0.2487014053565624,0.2334214377412939,0.2219517137445826,0.2145228116090685
