REGION_WILIAM,SEX_WILIAM,AGE_WILIAM,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AUSTRIA,FEMALE,c0c4,0.188122,0.188906484603727,0.190029493662803,0.186334240593021,0.179266175730085,0.1722015610105189,0.169684663716393,0.17031100254072,0.171072088351262,0.1698817867968,0.166486941242244,0.161803332376698,0.157221503723737,0.1537254790236669,0.150747697575223,0.14714831555721,0.142378558469339,0.136773967250929,0.131143360683994
AUSTRIA,FEMALE,c5c9,0.2001939999999999,0.194659532543828,0.194033847314979,0.194954604063164,0.190990396115448,0.183730908625768,0.176635094959035,0.1740098596505249,0.174401008165164,0.174836018663183,0.173371876565665,0.1693599962878859,0.16409837838031,0.159003708901507,0.155062488407987,0.1516921025116319,0.147737988055172,0.1426470949341469,0.136758091300786
AUSTRIA,FEMALE,c10c14,0.213251,0.203934335580424,0.198095424030773,0.197375024426493,0.198210269650707,0.194107235277351,0.186746185071379,0.179640595871865,0.176951398603424,0.1771961140673039,0.1774288785812759,0.175542648987673,0.171118482176321,0.165470630769887,0.160032121997259,0.1557891561658549,0.152150129680585,0.1479524278700739,0.142641636414339
AUSTRIA,FEMALE,c15c19,0.245897,0.2153289037056727,0.2057390012018304,0.2001258616207581,0.1993725212347377,0.200184201264964,0.1960258753421724,0.1886185750768906,0.1815095307988742,0.178781010122654,0.1789410207146277,0.178902322887885,0.1767548167780371,0.1720743405872127,0.1661868329096616,0.1605343565837411,0.156103056702489,0.1522957915950767,0.1479457210579173
AUSTRIA,FEMALE,c20c24,0.256952,0.2481812839300803,0.2172917139403981,0.2078151152781126,0.2023832573060635,0.2015949584196217,0.2023875131758921,0.1981681029994452,0.1906978448484991,0.1835635697472537,0.1807794465555409,0.1806170911439698,0.1802808590697423,0.1778517586755835,0.1729003493198339,0.1667625894837099,0.1608885069025748,0.1562630816985112,0.1522832962189236
AUSTRIA,FEMALE,c25c29,0.274573999725426,0.2725321169775468,0.2612864977386762,0.2303568267416612,0.2210969921314993,0.2162880228958184,0.2151645761271219,0.215748847060016,0.2110754801350199,0.2031054864555354,0.1956844606785314,0.1907990374919903,0.1888406198469997,0.186859679923306,0.1828817805748472,0.1764558861923502,0.1689718212888855,0.1619107151322093,0.1562447100538477
AUSTRIA,FEMALE,c30c34,0.264156,0.2903389110354507,0.2864919153668265,0.2753564515040673,0.2453385261990175,0.236847897721132,0.2333499792649606,0.2317793697906098,0.2321462522185864,0.2269823718129063,0.2185423339378069,0.2083959743772921,0.2010708795949005,0.1970282453414139,0.1931471963291935,0.1873848469594283,0.1792750669465315,0.1702692791150538,0.1618816410682099
AUSTRIA,FEMALE,c35c39,0.298314999701685,0.2756888729909685,0.3005717884675496,0.2980592107228479,0.2870650447662008,0.2577507288922793,0.2499051833918869,0.2474352028759026,0.2454862701008816,0.2456889783497859,0.2401381733029755,0.2294730959021978,0.2172081218775751,0.2079879182543043,0.2023088431537854,0.1969326438715248,0.1897775314790472,0.1803789252448654,0.1702336845896291
AUSTRIA,FEMALE,c40c44,0.347956,0.3051828415641363,0.2825557862158624,0.3082242839953087,0.3066511921867912,0.2957928576477854,0.2668725992752916,0.2594429441145122,0.2576302964620772,0.2554128059733563,0.2554912555081735,0.2484537491784749,0.2361977215285174,0.2224568222402778,0.211923330121332,0.2051029873250727,0.1986885438806767,0.1905833786528927,0.1803332991688066
AUSTRIA,FEMALE,c45c49,0.348693999651306,0.3503037324563007,0.3081472473843522,0.286428730620528,0.3126575833534327,0.3117556866459758,0.3010933281659927,0.2724845104101968,0.2653362519492875,0.2639276260775627,0.2615582800762467,0.2607854556243134,0.2528216085878983,0.2396076143738339,0.2249895993727483,0.2136800538362951,0.2061854200100566,0.1991649685884497,0.1905190605127958
AUSTRIA,FEMALE,c50c54,0.302481000302481,0.3484607991710778,0.3502352640845145,0.3093600031077425,0.2884418073330341,0.3151273824178112,0.3147721885254255,0.3043185562669124,0.275985807640235,0.2690497069307164,0.2679195744495646,0.2650079400221751,0.2636658029897271,0.2551060428199235,0.2412926542300153,0.2261338580060155,0.2143503312662112,0.2064459567277914,0.1990659890771608
AUSTRIA,FEMALE,c55c59,0.253562999746437,0.3005621645278866,0.3465766577908259,0.349173271087587,0.3095072448002575,0.2893591281982532,0.3164565630224231,0.3165562195261728,0.3063091667333313,0.2782203331801191,0.2714572167813597,0.2699300246108012,0.2666691191712951,0.2649809688878432,0.2560702433117004,0.2419170379583465,0.2264588394852227,0.214417806296377,0.2062959835346495
AUSTRIA,FEMALE,c60c64,0.239584,0.2505290678313623,0.2976886983854031,0.3441448734789986,0.3476084316676008,0.3091148331277036,0.2896920907303758,0.3171788986056233,0.3176906499925832,0.3076399856840031,0.2797595936925764,0.2727417766256559,0.270915242982658,0.2674087407264564,0.265484194232485,0.2563472813442283,0.2419898894554778,0.2263615398695249,0.214181867395296
AUSTRIA,FEMALE,c65c69,0.236911,0.2341572714289573,0.2461367661187641,0.2936336561191427,0.3405442574384572,0.3450066143457952,0.3077946540473719,0.2892000854120554,0.3171001578320228,0.3180335788362388,0.3082209625103848,0.2802577289033627,0.2730384968764282,0.2710279049845808,0.2673663716917557,0.265295570034556,0.2560356394117076,0.2415848219981069,0.2258924063481325
